1953,10,5,Oshima,Izu Is-Japan,Japan,Stratovolcano
1953,12,24,Ruapehu,New Zealand,New Zealand,Stratovolcano
1954,2,nan,Stromboli,Italy,Italy,Stratovolcano
1954,7,21,Tate-yama,Honshu-Japan,Japan,Stratovolcano
1954,8,3,Bam,New Guinea-NE of,Papua New Guinea,Stratovolcano
1954,nan,nan,Camiguin,Mindanao-Philippines,Philippines,Stratovolcano
1955,7,26,Carran-Los Venados,Chile-C,Chile,Pyroclastic cone
1955,10,13,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano
1956,3,30,Bezymianny,Kamchatka,Russia,Stratovolcano
1957,3,11,Vsevidof,Aleutian Is,United States,Stratovolcano
1957,7,nan,Unzen,Kyushu-Japan,Japan,Complex volcano
1957,8,nan,Oshima,Izu Is-Japan,Japan,Stratovolcano
1957,10,nan,Aso,Kyushu-Japan,Japan,Caldera
1958,7,12,Mahawu,Sulawesi-Indonesia,Indonesia,Stratovolcano
1958,7,21,Daisetsu,Hokkaido-Japan,Japan,Stratovolcano
1958,10,7,Kuwae,Vanuatu-SW Pacific,Vanuatu,Caldera
1960,5,25,Puyehue,Chile-C,Chile,Stratovolcano
1961,1,25,Calbuco,Chile-S,Chile,Stratovolcano
1961,4,23,Tate-yama,Honshu-Japan,Japan,Stratovolcano
1961,5,8,Merapi,Java,Indonesia,Stratovolcano
1961,6,18,Daisetsu,Hokkaido-Japan,Japan,Stratovolcano
1961,8,18,Asama,Honshu-Japan,Japan,Complex volcano
1962,6,29,Tokachi,Hokkaido-Japan,Japan,Stratovolcano
1962,10,nan,Merapi,Java,Indonesia,Stratovolcano
1962,12,31,Gamalama,Halmahera-Indonesia,Indonesia,Stratovolcano
1963,3,17,Irazu,Costa Rica,Costa Rica,Stratovolcano
1963,3,18,Agung,Lesser Sunda Is,Indonesia,Stratovolcano
1963,5,5,Semeru,Java,Indonesia,Stratovolcano
1963,5,16,Agung,Lesser Sunda Is,Indonesia,Stratovolcano
1963,5,21,Villarrica,Chile-C,Chile,Stratovolcano
1963,9,5,Batur,Lesser Sunda Is,Indonesia,Caldera
1963,9,28,Fuego,Guatemala,Guatemala,Stratovolcano
1963,12,10,Irazu,Costa Rica,Costa Rica,Stratovolcano
1964,1,1,Paluweh,Lesser Sunda Is,Indonesia,Stratovolcano
1964,3,3,Villarrica,Chile-C,Chile,Stratovolcano
1964,12,13,Dieng Volc Complex,Java,Indonesia,Complex volcano
