1910,11,10,12,19,54.0,VANUATU ISLANDS: ESPIRITU SANTO,VANUATU ISLANDS
1910,11,26,4,39,nan,SOLOMON ISLANDS,SOLOMON ISLANDS
1910,12,13,11,37,24.0,ZAMBIA,ZAMBIA
1910,12,16,14,45,nan,INDONESIA: TALAUD ISLANDS,INDONESIA
1910,12,18,2,42,nan,INDONESIA: SULAWESI-N. MOLUCCAS ISLANDS,INDONESIA
1910,12,30,nan,nan,nan,PHILIPPINES: SULU SEA,PHILIPPINES
1911,1,3,23,25,45.0,"KAZAKHSTAN: ALMA-ATA, TURKESTAN",KAZAKHSTAN
1911,1,26,nan,nan,nan,CHINA: HEBEI PROVINCE,CHINA
1911,1,27,23,6,5.0,PHILIPPINES: LUZON: TAAL VOLCANO,PHILIPPINES
1911,2,18,18,41,14.0,"TAJIKISTAN: USOY, BARCHIDIV, POSOR, NISUR",TAJIKISTAN
1911,2,18,21,36,nan,GREECE-ALBANIA,GREECE-ALBANIA
1911,4,18,18,14,36.0,IRAN: RAVAR,IRAN
1911,5,4,23,36,48.0,RUSSIA: NEAR KAMCHATKA,RUSSIA
1911,5,8,nan,nan,nan,PAPUA NEW GUINEA: MATUPIT ISLAND,PAPUA NEW GUINEA
1911,5,14,nan,nan,nan,CHINA: GUANGDONG PROVINCE,CHINA
1911,6,7,11,2,42.0,MEXICO: MICHOACAN,MEXICO
1911,6,15,14,26,nan,JAPAN: RYUKYU ISLANDS,JAPAN
1911,7,4,13,33,26.0,AFGHANISTAN: HINDU KUSH,AFGHANISTAN
1911,7,12,4,7,36.0,"PHILIPPINES: MINDANAO: TALACOGON,DAVAO,BUTUAN",PHILIPPINES
1911,7,24,nan,nan,nan,"FRANCE: NAY,BENEJACQ,ARAMITS,ARROS,GAN,BOSDARROS",FRANCE
1911,8,16,22,41,18.0,"MICRONESIA, FED. STATES OF: CAROLINE ISLANDS","MICRONESIA, FED. STATES OF"
1911,9,15,13,10,nan,CHILE: NORTHERN,CHILE
1911,9,22,5,1,24.0,ALASKA: PRINCE WILLIAM SOUND,ALASKA
1911,10,15,8,52,nan,ITALY: ETNA,ITALY
1911,11,18,21,35,nan,"ALBANIA: KORCE, STAROVE, POGRADEC, SALXHIJAS",ALBANIA
1911,12,16,19,14,nan,MEXICO: NEAR COAST OF GUERRERO,MEXICO
1912,1,24,16,23,nan,GREECE: ASPROGERAKAS (KEPHALLENIA),GREECE
1912,5,6,18,59,nan,ICELAND,ICELAND
1912,5,8,nan,nan,nan,MEXICO: GUADALAJARA,MEXICO
1912,5,23,2,24,6.0,"MYANMAR (BURMA): MANDALAY, MOGOK, MAYMYO",MYANMAR (BURMA)
1912,6,8,4,42,nan,"SANRIKU, JAPAN","SANRIKU, JAPAN"
1912,7,24,11,50,nan,"PERU: HUANCABAMBA,CAJAMARCA; ECUADOR: GUAYAQUIL",PERU
1912,8,9,1,29,nan,TURKEY: MARMARA SEA,TURKEY
1912,9,19,nan,nan,nan,MEXICO: ACAMBAY-TIXMADEJE,MEXICO
1912,9,29,20,51,nan,"MICRONESIA, FED. STATES OF: CAROLINE ISLANDS","MICRONESIA, FED. STATES OF"
1912,10,31,17,24,nan,"MICRONESIA, FED. STATES OF: CAROLINE ISLANDS","MICRONESIA, FED. STATES OF"
1912,11,7,7,40,nan,ALASKA: ALASKA PENINSULA,ALASKA
1912,11,8,7,54,nan,PHILIPPINES: SORSOGON,PHILIPPINES
1912,11,19,13,18,nan,"MEXICO: CENTRAL, ACAMBAY, TIXMADEJE",MEXICO
1912,12,6,nan,nan,nan,"MICRONESIA, FED. STATES OF: YAP IS, CAROLINE IS","MICRONESIA, FED. STATES OF"
1912,12,7,22,46,50.0,ARGENTINA: SANTIAGO DEL ESTERO PROVINCE,ARGENTINA
1913,1,19,23,48,nan,RUSSIA: KURIL ISLANDS,RUSSIA
1913,2,22,2,36,nan,TASMAN SEA,TASMAN SEA
1913,2,24,2,30,nan,"ECUADOR: GONZANAMA, SAN PEDRO, MOLLETURE",ECUADOR
1913,3,14,8,45,4.3,INDONESIA: SANGIHE ISLAND,INDONESIA
1913,3,24,10,34,nan,IRAN: TEYHAN,IRAN
1913,4,25,17,56,nan,PHILIPPINES,PHILIPPINES
1913,5,30,11,46,nan,PAPUA NEW GUINEA: SOLOMON ISLANDS,PAPUA NEW GUINEA
1913,6,14,9,33,12.0,BULGARIA: TIRNOVO,BULGARIA
1913,6,26,4,57,1.0,TONGA ISLANDS,TONGA ISLANDS
1913,6,28,8,53,nan,"ITALY: COSENZA,ROGLIANO,BISIGANO",ITALY
